assembly_method,alignment_method,plasmid,height
Illumina_SPAdes,roary,IncI1,327.2837043
NP_Canu,roary,IncI1,24.98907997
NP_Canu_Hybrid_Polished,roary,IncI1,327.0975524
NP_SPAdes,roary,IncI1,327.0839182
NP_Unicycler,roary,IncI1,327.1472228
PB_Canu,roary,IncI1,328.5450066
PB_Canu_Hybrid_Polished,roary,IncI1,329.0512554
PB_SPAdes,roary,IncI1,327.929113
PB_Unicycler,roary,IncI1,327.1846512
Illumina_SPAdes,roary,IncFII_pRSB107,327.2837043
NP_Canu,roary,IncFII_pRSB107,24.98907997
NP_Canu_Hybrid_Polished,roary,IncFII_pRSB107,327.0975524
NP_SPAdes,roary,IncFII_pRSB107,327.0839182
NP_Unicycler,roary,IncFII_pRSB107,327.1472228
PB_Canu,roary,IncFII_pRSB107,328.5450066
PB_Canu_Hybrid_Polished,roary,IncFII_pRSB107,329.0512554
PB_SPAdes,roary,IncFII_pRSB107,327.929113
PB_Unicycler,roary,IncFII_pRSB107,327.1846512
Illumina_SPAdes,roary,IncFIC_FII,327.1713756
NP_Canu,roary,IncFIC_FII,24.8767512
NP_Canu_Hybrid_Polished,roary,IncFIC_FII,326.9852236
NP_SPAdes,roary,IncFIC_FII,326.9715894
NP_Unicycler,roary,IncFIC_FII,327.034894
PB_Canu,roary,IncFIC_FII,328.4326778
PB_Canu_Hybrid_Polished,roary,IncFIC_FII,328.9389267
PB_SPAdes,roary,IncFIC_FII,327.8167843
PB_Unicycler,roary,IncFIC_FII,327.0723225
Illumina_SPAdes,roary,IncFIB_AP001918,327.2837043
NP_Canu,roary,IncFIB_AP001918,24.98907997
NP_Canu_Hybrid_Polished,roary,IncFIB_AP001918,327.0975524
NP_SPAdes,roary,IncFIB_AP001918,327.0839182
NP_Unicycler,roary,IncFIB_AP001918,327.1472228
PB_Canu,roary,IncFIB_AP001918,328.5450066
PB_Canu_Hybrid_Polished,roary,IncFIB_AP001918,329.0512554
PB_SPAdes,roary,IncFIB_AP001918,327.929113
PB_Unicycler,roary,IncFIB_AP001918,327.1846512
Illumina_SPAdes,roary,IncFIA,327.2837043
NP_Canu,roary,IncFIA,24.98907997
NP_Canu_Hybrid_Polished,roary,IncFIA,327.0975524
NP_SPAdes,roary,IncFIA,327.0839182
NP_Unicycler,roary,IncFIA,327.1472228
PB_Canu,roary,IncFIA,328.5450066
PB_Canu_Hybrid_Polished,roary,IncFIA,329.0512554
PB_SPAdes,roary,IncFIA,327.929113
PB_Unicycler,roary,IncFIA,327.1846512
Illumina_SPAdes,roary,ColRNAI,327.2837043
NP_Canu,roary,ColRNAI,24.98907997
NP_Canu_Hybrid_Polished,roary,ColRNAI,327.0975524
NP_SPAdes,roary,ColRNAI,327.0839182
NP_Unicycler,roary,ColRNAI,327.1472228
PB_Canu,roary,ColRNAI,328.5450066
PB_Canu_Hybrid_Polished,roary,ColRNAI,329.0512554
PB_SPAdes,roary,ColRNAI,327.929113
PB_Unicycler,roary,ColRNAI,327.1846512
Illumina_SPAdes,roary,Col156,327.2837043
NP_Canu,roary,Col156,24.98907997
NP_Canu_Hybrid_Polished,roary,Col156,327.0975524
NP_SPAdes,roary,Col156,327.0839182
NP_Unicycler,roary,Col156,327.1472228
PB_Canu,roary,Col156,328.5450066
PB_Canu_Hybrid_Polished,roary,Col156,329.0512554
PB_SPAdes,roary,Col156,327.929113
PB_Unicycler,roary,Col156,327.1846512
Illumina_SPAdes,roary,Col_MG828,327.2097317
NP_Canu,roary,Col_MG828,24.91510737
NP_Canu_Hybrid_Polished,roary,Col_MG828,327.0235798
NP_SPAdes,roary,Col_MG828,327.0099455
NP_Unicycler,roary,Col_MG828,327.0732502
PB_Canu,roary,Col_MG828,328.471034
PB_Canu_Hybrid_Polished,roary,Col_MG828,328.9772828
PB_SPAdes,roary,Col_MG828,327.8551404
PB_Unicycler,roary,Col_MG828,327.1106786